26,みます,見ます. 診ます,"melihat, memeriksa"
26,さがします,探します. 捜します,mencari
26,おくれます,遅れます,terlambat
26,まにあいます,間に合います,"sempat, tepat waktu"
26,やります,—,melakukan
26,ひろいます,拾います,"mengambil, menemukan"
26,れんらくします,連絡します,menghubungi
26,きぶんがいい,気分がいい,merasa segar
26,きぶんがわるい,気分が悪い,merasa tidak enak
26,うんどうかい,運動会,lomba olahraga
26,ぼんおどり,盆踊り,tarian Bon
26,フリーマーケット,—,pasar loak
26,ばしょ,場所,tempat
26,ボランティア,—,sukarelawan
26,さいふ,財布,dompet
26,ごみ,—,sampah
26,こっかいぎじどう,国会議事堂,gedung parlemen
26,へいじつ,平日,hari kerja
26,～べん,～弁,dialek
26,こんど,今度,"kali ini, lain kali"
26,ずいぶん,—,"sangat, amat"
26,ちょくせつ,直接,langsung
26,いつでも,—,kapan saja
26,どこでも,—,di mana saja
26,だれでも,—,siapa saja
26,なんでも,何でも,apa saja
26,こんな～,—,seperti ini
26,そんな～,—,seperti itu
26,あんな～,—,seperti itu (jauh)
26,かたづきます,片づきます,membereskan
26,だします,出します,membuang
26,もえるごみ,燃えるごみ,sampah organik
26,おきば,置き場,tempat meletakkan
26,よこ,横,samping
26,びん,瓶,botol
26,かん,缶,kaleng
26,ガス,—,gas
26,うちゅう,宇宙,angkasa
26,～さま,～様,Tuan/Nyonya
26,うちゅうせん,宇宙船,pesawat luar angkasa
26,こわい,怖い,takut
26,うちゅうステーション,宇宙ステーション,stasiun luar angkasa
26,ちがいます,違います,"berbeda, salah"
26,うちゅうひこうし,宇宙飛行士,astronot
27,かいます,飼います,memelihara
27,はしります,走ります,berlari
27,みえます,見えます,terlihat
27,きこえます,聞こえます,terdengar
27,できます,—,dibuat
27,ひらきます,開きます,membuka
27,しんぱい,心配,khawatir
27,ペット,—,hewan peliharaan
27,とり,鳥,burung
27,こえ,声,suara
27,なみ,波,ombak
27,はなび,花火,kembang api
27,どうぐ,道具,alat
27,クリーニング,—,laundry
27,いえ,家,rumah
27,マンション,—,apartemen
27,キッチン,—,dapur
27,～きょうしつ,～教室,kelas
27,パーティールーム,—,ruang pesta
27,かた,方,orang (halus)
27,～ご,～後,setelah
27,～しか,—,hanya
27,ほかの,—,yang lain
27,はっきり,—,jelas
27,かぐ,家具,furnitur
27,ほんだな,本棚,rak buku
27,いつか,—,suatu saat
27,たてます,建てます,membangun
27,すばらしい,—,luar biasa
27,こどもたち,子どもたち,anak-anak
27,だいすき,大好き,sangat suka
27,しゅじんこう,主人公,tokoh utama
27,かたち,形,bentuk
27,ふしぎ,不思議,ajaib
27,ポケット,—,kantong
27,たとえば,例えば,misalnya
27,つけます,付けます,memasang
27,じゆうに,自由に,dengan bebas
27,そら,空,langit
27,とびます,飛びます,terbang
27,むかし,昔,dulu
27,じぶん,自分,diri sendiri
27,しょうらい,将来,masa depan
28,うれます,売れます,terjual
28,おどります,踊ります,menari
28,かみます,—,"menggigit, mengunyah"
28,えらびます,選びます,memilih
28,かよいます,通います,pergi rutin
28,メモします,—,mencatat
28,まじめ,真面目,serius
28,ねっしん,熱心,tekun
28,えらい,偉い,hebat
28,ちょうどいい,—,pas
28,けしき,景色,pemandangan
28,びよういん,美容院,salon
28,だいどころ,台所,dapur
28,けいけん,経験,pengalaman
28,ちから,力,tenaga
28,にんき,人気,populer
28,かたち,形,bentuk
28,いろ,色,warna
28,あじ,味,rasa
28,ガム,—,permen karet
28,しなもの,品物,barang
28,ねだん,値段,harga
28,きゅうりょう,給料,gaji
28,ボーナス,—,bonus
28,ゲーム,—,permainan
28,ばんぐみ,番組,acara TV
28,ドラマ,—,drama
28,かしゅ,歌手,penyanyi
28,しょうせつ,小説,novel
28,しょうせつか,小説家,novelis
28,むすこ,息子,anak laki-laki
28,むすこさん,息子さん,putra
28,むすめ,娘,anak perempuan
28,むすめさん,娘さん,putri
28,じぶん,自分,diri sendiri
28,しょうらい,将来,masa depan
28,しばらく,—,sementara
28,たいてい,—,biasanya
28,それに,—,selain itu
28,それで,—,lalu
28,じつは,実は,sebenarnya
28,かいわ,会話,percakapan
28,おしらせ,お知らせ,pengumuman
28,さんかします,参加します,ikut
28,ひにち,日にち,tanggal
28,ど,土,Sabtu
28,たいいくかん,体育館,gedung olahraga
28,むりょう,無料,gratis
28,さそいます,誘います,mengajak
28,イベント,—,acara
29,あきます,開きます,terbuka
29,しまります,閉まります,tertutup
29,つきます,点きます,menyala
29,きえます,消えます,padam
29,こわれます,壊れます,rusak
29,われます,割れます,pecah
29,おれます,折れます,patah
29,やぶれます,破れます,robek
29,よごれます,汚れます,menjadi kotor
29,つきます,付きます,terpasang
29,はずれます,外れます,terlepas
29,とまります,止まります,berhenti
29,まちがえます,間違えます,salah
29,おとします,落とします,menjatuhkan
29,かかります,掛かります,terkunci
29,[かぎが～],[鍵が～],kunci ～
29,ふきます,拭きます,mengelap
29,とりかえます,取り替えます,mengganti
29,かたづけます,片づけます,membereskan
29,さら,皿,piring
29,ちゃわん,茶碗,mangkuk nasi
29,コップ,—,gelas
29,ガラス,—,kaca
29,ふくろ,袋,kantong
29,しょるい,書類,dokumen
29,えだ,枝,ranting
29,えきいん,駅員,petugas stasiun
29,このへん,この辺,sekitar sini
29,～へん,～辺,sekitar ～
29,さっき,—,tadi
29,たったいま,たった今,baru saja
29,いまにも,今にも,sebentar lagi
29,「でんきがつきません」,「電気がつきません」,“Lampunya tidak menyala”
29,それなら,—,kalau begitu
29,おかしい,—,aneh
29,しばらくですね,—,sudah lama ya
29,～のところ,～の所,bagian ～
29,なおします,直します,memperbaiki
29,うごきます,動きます,bergerak
29,ひきだし,引き出し,laci
29,でんち,電池,baterai
30,はります,貼ります,menempelkan
30,かけます,掛けます,menggantungkan
30,かざります,飾ります,menghiasi
30,ならべます,並べます,menata
30,うえます,植えます,menanam
30,もどします,戻します,mengembalikan
30,まとめます,纏めます,merangkum
30,しまいます,—,menyimpan
30,きめます,決めます,menentukan
30,よしゅうします,予習します,belajar pendahuluan
30,ふくしゅうします,復習します,mengulang pelajaran
30,そのままにします,そのままにします,membiarkan apa adanya
30,じゅぎょう,授業,pelajaran
30,こうぎ,講義,kuliah
30,ミーティング,—,rapat
30,よてい,予定,rencana
30,おしらせ,お知らせ,pemberitahuan
30,あんないしょ,案内書,buku panduan
30,カレンダー,—,kalender
30,ポスター,—,poster
30,ごみばこ,ごみ箱,tempat sampah
30,にんぎょう,人形,boneka
30,かびん,花瓶,vas bunga
30,かがみ,鏡,cermin
30,ひきだし,引き出し,laci
30,げんかん,玄関,pintu masuk
30,ろうか,廊下,lorong
30,かべ,壁,dinding
30,いけ,池,kolam
30,もとのところ,元の所,tempat semula
30,まわり,周り,sekitar
30,まんなか,真ん中,tengah
30,すみ,隅,sudut
30,まだ,—,masih
30,～ほど,～程,sekitar ～
30,よていひょう,予定表,jadwal
30,よく,良く,dengan baik
30,ほうそうします,放送します,menyiarkan
30,れんらくします,連絡します,menghubungi
30,ほしい,欲しい,ingin
30,とりあえず,—,untuk sementara
30,どのくらい,—,seberapa banyak
30,なにか,何か,sesuatu
30,だれか,誰か,seseorang
30,～について,～について,tentang ～
30,じゅんび,準備,persiapan
30,かいじょう,会場,lokasi acara
30,せき,席,kursi/tempat duduk
30,うけつけ,受付,resepsionis
30,ひつよう,必要,perlu
31,つづけます,続けます,melanjutkan
31,みつけます,見つけます,menemukan
31,とります,取ります,mengambil
31,うけます,受けます,mengikuti ujian
31,もうしこみます,申し込みます,mendaftar
31,きゅうけいします,休憩します,beristirahat
31,れんきゅう,連休,liburan panjang
31,さくぶん,作文,karangan
31,はっぴょう,発表,presentasi
31,てんらんかい,展覧会,pameran
31,けっこんしき,結婚式,upacara pernikahan
31,おそうしき,お葬式,pemakaman
31,しき,式,upacara
31,ほんしゃ,本社,kantor pusat
31,してん,支店,kantor cabang
31,きょうかい,教会,gereja
31,だいがくいん,大学院,program pascasarjana
31,どうぶつえん,動物園,kebun binatang
31,おんせん,温泉,pemandian air panas
31,おきゃくさん,お客様,tamu/pelanggan
31,だれでも,誰でも,siapa saja
31,～のかた,～の方,pihak ～
31,つきます,着きます,tiba
